name,value,posX,posY,posX2,posY2,posX3,posY3,
amount,0,,,,,,,
,0,1878.8896,942.65826,,,,,
,0,1700.1028,557.63184,,,,,
,1,490.0,220.0,,,,,
,0,1691.0,539.0,,,,,
,0,1475.0,250.0,,,,,
,0,1042.0,586.0,,,,,
,1,1823.0,105.0,,,,,
,0,1869.0,785.0,,,,,
,0,1710.0,192.0,,,,,
,0,999.0,424.0,,,,,
,1,1257.0,203.0,,,,,
,0,1505.0,850.0,,,,,
,0,1416.0,745.0,,,,,
,0,1108.0,791.0,,,,,
,0,1294.0,223.0,,,,,
,0,1032.0,997.0,,,,,
,0,1024.0,342.0,,,,,
,0,1670.0,335.0,,,,,
,0,1433.0,114.0,,,,,
,0,1681.0,583.0,,,,,
,0,1566.0,359.0,,,,,
,1,1043.821,328.9375,,,,,
,0,1703.0383,1021.27783,,,,,
,0,1208.0,827.0,,,,,
,0,1130.0,262.0,,,,,
,1,1178.0,547.0,,,,,
,0,1256.0,1015.0,,,,,
,0,1092.0,678.0,,,,,
,0,1394.0,1023.0,,,,,
,0,1314.0,859.0,,,,,
,0,1070.0,723.0,,,,,
,0,1414.0,975.0,,,,,
,0,1712.0,893.0,,,,,
,0,1799.0,944.0,,,,,
,0,1271.0,354.0,,,,,
,0,1713.0,353.0,,,,,
,0,1764.0,646.0,,,,,
,0,1677.0,599.0,,,,,
,0,1091.0,443.0,,,,,
,0,1626.0,871.0,,,,,
,0,1728.0,910.0,,,,,
,0,1247.0,416.0,,,,,
,0,1868.0,968.0,,,,,
,1,1815.0,399.0,,,,,
,0,1689.0,490.0,,,,,
,0,1508.0,903.0,,,,,
,0,985.0,255.0,,,,,
,1,1686.0,869.0,,,,,
,0,1792.0,214.0,,,,,
,0,1002.8478,738.1807,,,,,
,0,1343.7892,328.1521,,,,,
