name,value,posX,posY,posX2,posY2,posX3,posY3,
xp,641.0,,,,,,,
level,14.0,,,,,,,
items,1,,,,,,,
,0.0,1166.5515,229.50984,200.0,-50.0,200.0,-50.0,
,0.0,1114.0,496.0,-3806.607,5103.4844,-3806.607,5103.4844,
,25,1364.0,399.0,-3876.8857,5016.169,-3876.8857,5016.169,
,4,1802.1842,244.918,-3777.013,4516.9795,-3777.013,4516.9795,
,3,1438.0,507.0,-4674.5703,4473.0303,-4674.5703,4473.0303,
,2,1040.0,412.0,-4585.83,4452.662,-4585.83,4452.662,
,4,1125.0,698.0,-4330.225,4265.1113,-4330.225,4265.1113,
,1,1210.0,322.0,-4302.9976,4624.2793,-4302.9976,4624.2793,
,3,1058.0,531.0,-3703.0,1212.0,-3703.0,1212.0,
,3,1023.0,606.0,-3871.6582,5003.3574,-3871.6582,5003.3574,
,2,1419.7773,161.64615,-3991.5427,2378.2505,-3991.5427,2378.2505,
,3,1794.6692,761.41974,-7579.1772,-1942.826,-7579.1772,-1942.826,
,3,1519.2478,918.93066,-8080.7188,-1737.5911,-8080.7188,-1737.5911,
,60,1780.7078,153.81526,-8855.539,-2001.9261,-8855.539,-2001.9261,
,1,1564.0042,422.21057,-8812.193,-1949.21,-8812.193,-1949.21,
,4,1139.6222,350.5887,-8721.246,-1879.5403,-8721.246,-1879.5403,
,25,1350.3159,636.03973,-8551.358,-815.2805,-8551.358,-815.2805,
,0.0,1083.0,164.0,-155.0,7106.0,-155.0,7106.0,
,24,740.0,211.0,774.0,-2928.0,774.0,-2928.0,
,8,498.0,291.0,1359.0,626.0,1359.0,626.0,
,23,791.0,204.0,3657.0,-2651.0,3657.0,-2651.0,
,6,582.0,474.0,-3828.0,76.0,-3828.0,76.0,
,47,808.0,455.0,-1841.0,-6893.0,-1841.0,-6893.0,
,33,688.0,501.0,-5090.0,-8018.0,-5090.0,-8018.0,
,5,732.0,729.0,-690.0,-8125.0,-690.0,-8125.0,
,5,670.0,730.0,487.0,-5633.0,487.0,-5633.0,
,61,525.0,648.0,-3737.0,-6747.0,-3737.0,-6747.0,
,29,799.0,601.0,-415.0,-5311.0,-415.0,-5311.0,
,12,590.0,546.0,-4697.0,-348.0,-4697.0,-348.0,
,22,685.0,214.0,7321.0,-1655.0,7321.0,-1655.0,
,5,783.0,727.0,1295.0,-12.0,1295.0,-12.0,
,61,530.0,692.0,-780.0,8383.0,-780.0,8383.0,
,5,838.0,730.0,-4518.4785,4523.9365,-4518.4785,4523.9365,
,61,479.0,647.0,368.973,-334.69357,368.973,-334.69357,
,4,1271.0,442.0,7974.0,-3816.0,7974.0,-3816.0,
,2,1186.0,741.0,8287.0,-4227.0,8287.0,-4227.0,
,3,1776.0,1012.0,8174.0,-4409.0,8174.0,-4409.0,
,60,1692.0,1031.0,7363.0,-4159.0,7363.0,-4159.0,
,4,1840.0,1057.0,7869.0,-4027.0,7869.0,-4027.0,
,0.0,1282.0,461.0,-4092.0,-3268.0,-4092.0,-3268.0,
,24,769.0,212.0,774.0,-2928.0,774.0,-2928.0,
,8,498.0,299.0,1359.0,626.0,1359.0,626.0,
,23,863.0,208.0,3657.0,-2651.0,3657.0,-2651.0,
,6,549.0,437.0,-3828.0,76.0,-3828.0,76.0,
,47,821.0,439.0,-1841.0,-6893.0,-1841.0,-6893.0,
,33,684.0,561.0,-5090.0,-8018.0,-5090.0,-8018.0,
,5,732.0,729.0,-690.0,-8125.0,-690.0,-8125.0,
,5,670.0,730.0,487.0,-5633.0,487.0,-5633.0,
,61,525.0,648.0,-3737.0,-6747.0,-3737.0,-6747.0,
,29,806.0,618.0,-415.0,-5311.0,-415.0,-5311.0,
,12,602.0,535.0,-4697.0,-348.0,-4697.0,-348.0,
,22,708.0,174.0,7321.0,-1655.0,7321.0,-1655.0,
,5,783.0,727.0,1295.0,-12.0,1295.0,-12.0,
,61,530.0,692.0,-780.0,8383.0,-780.0,8383.0,
,4,1094.0,323.0,-750.0,-6657.0,-750.0,-6657.0,
,25,1796.0,555.0,-116.0,-6755.0,-116.0,-6755.0,
,29,1580.0,468.0,1009.0,-7816.0,1009.0,-7816.0,
,4,1351.0,513.0,964.0,-7834.0,964.0,-7834.0,
,60,1570.0,495.0,616.0,-7094.0,616.0,-7094.0,
